Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Series Name,New_Book_Author,New_Book_Title,Series_Name,Book_Co_Author,Illustrators,Challenge_Type,Challenge_Init,Initial_Response,Challenge_Notes,Decision,Restrictions,Restriction_Details,Library_Type,Month,Year,Overseeing_Agency,City,County,Sch_Name,Lib_name,Police,Book_Status,Data_Entry_Date,Links1,Links2,Links3,Links4,Last_Updated,ID,Genre1,Genre2,Genre3,Genre
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,North Dakota,Williston Basin School District #7,September 2022,Informal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Washington County School District,July 2022,Informal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,September 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Jordan School District,AY 2022-2023,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned Pending Investigation,,,,Wisconsin,School District of Somerset,February 2023,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries,,,,Missouri,Nixa Public Schools,April 2023,Unclear,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries,,,,North Carolina,Cumberland County Schools,April 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Granite School District,October 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Utah,Alpine School District,November 2022,Legislative Action,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,October 2022,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Children's fiction,Courts and courtiers,Courts and courtiers, fiction,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Imaginary wars and battles,JUVENILE FICTION,Love, fiction,Magic,New York Times bestseller,Winter solstice,Young adult literature,collectionID:AlpineChallenge; series:A_Court_of_Thorns_and_Roses,collectionID:EanesChallenge,nyt:combined-print-and-e-book-fiction=2024-04-28"
"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned in Libraries,,,,Florida,St. Johns County School District,May 2022,Formal Challenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",A Court of Frost and Starlight (A Court of Thorns and Roses Series),Banned Pending Investigation,,,,Florida,Brevard Public Schools,May 2022,Administrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Pennsylvania,Penncrest School District,February 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Texas,Conroe Independent School District,September 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Utah,Davis School District,November 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,September 2022,Informal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries,,,,North Carolina,Cumberland County Schools,April 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Utah,Nebo School District,AY 2022-2023,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned Pending Investigation,,,,South Carolina,Beaufort County School District,October 2022,Informal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Florida,Miami-Dade Public Schools,March 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Utah,Wasatch School District,AY 2022-2023,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries,,,,Missouri,Nixa Public Schools,April 2023,Unclear,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Utah,Alpine School District,November 2022,Legislative Action,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,Kansas,Gardner Edgerton School District 231,March 2023,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries and Classrooms,,,,North Carolina,Pender County Schools,February 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned from Libraries,,,,Florida,Collier County Public Schools,March 2023,Administration,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
"Maas, Sarah J.",A Court of Mist and Fury,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,A Court of Thorns and Roses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Action & Adventure,Adaptations,Blessing and cursing,Children's fiction,Cours et courtisans,Courts and courtiers,Fairies,Fairies, fiction,Fantasy,Fantasy & Magic,Fantasy fiction,Fiction,Fées,General,Love & Romance,Magic,New York Times bestseller,Romans, nouvelles, etc. pour la jeunesse,collectionID:AlpineChallenge,collectionID:EanesChallenge,collectionID:KellerChallenge,collectionID:TexChallenge2021,nyt:young-adult-e-book=2016-05-22,nyt:young-adult-hardcover=2016-05-22,series:A_Court_of_Thorns_and_Roses"
