Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,Genre,Genre1,Genre2,Genre3,Genre4,Genre5,remaining_genres,Coordinates
"Levithan, David",Two Boys Kissing,Banned in Libraries,,,,Georgia,Forsyth County Schools,January 2022,Administrator,"AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Love, fiction,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge",AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,"Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge","[33.749, -84.388]"
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,Pennsylvania,Pleasant Valley School District,July 2022,Informal Challenge,"AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Love, fiction,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge",AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,"Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge","[41.2033, -77.1945]"
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,Texas,Texarkana Independent School District,October 2022,Informal Challenge,"AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Love, fiction,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge",AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,"Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge","[31.9686, -99.9018]"
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,"AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Love, fiction,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge",AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,"Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge","[27.9944, -81.7603]"
"Levithan, David",Two Boys Kissing,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Love, fiction,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge",AIDS (Disease),Aids,Children's fiction,Coming out (Sexual orientation),Coming-out,"Emotions & Feelings,Fiction,Gay men,Gay people,Gay teenagers,Gays,History,Homosexuality, fiction,Homosexualität,Juvenile fiction,LGBT,LGBTQ HIV/AIDS,LGBTQ young adult,Lambda Literary Award Winner,Lambda Literary Awards,Liebe,Love,Love stories,Romance,Romance fiction,Social Themes,Social change,Stonewall Book Awards,World records,YOUNG ADULT FICTION,Young adult works,collectionID:AlpineChallenge","[31.9686, -99.9018]"
"Robertson, Carolyn",Two Dads: A Book About Adopton,Banned Pending Investigation,,"Humphreys, Sophie",,Florida,Walton County School District,April 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Gratz, Alan",Two Degrees,Banned from Classrooms,,,,Pennsylvania,Kutztown School District,January 2023,Informal Challenge,"New York Times bestseller,nyt:childrens-middle-grade-hardcover=2022-10-23",New York Times bestseller,nyt:childrens-middle-grade-hardcover=2022-10-23,,,,,"[41.2033, -77.1945]"
"Goldman, Steven","Two Parties, One Tux, and a Very Short Film about The Grapes of Wrath",Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction,Fiction, romance, general,Friendship,Friendship, fiction,Gay men, fiction,Gay teenagers,Gays,High schools,Homosexuality,Homosexuality, fiction,Interpersonal relations,Interpersonal relations, fiction,Juvenile fiction,Schools,Schools, fiction",Children's fiction,Dating (Social customs),Dating (social customs), fiction,Fiction," romance, general,Friendship,Gay men,Gay teenagers,Gays,High schools,Homosexuality,Interpersonal relations,Juvenile fiction,Schools","[31.9686, -99.9018]"
"Bruchac, Joseph",Two Roads,Banned Pending Investigation,,,,Florida,Duval County Public Schools,January 2022,Administrator,"Children's fiction,Creek Indians,Depressions,Fathers and sons,History,Identity,Indians of North America,Indians of north america, fiction,Juvenile fiction,Tramps,United states, history, 20th century, fiction,Veterans",Children's fiction,Creek Indians,Depressions,Fathers and sons,History,"Identity,Indians of North America,Indians of north america, fiction,Juvenile fiction,Tramps,United states, history, 20th century,Veterans","[27.9944, -81.7603]"
"Westerfeld, Scott",Uglies (Uglies Series),Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,Unknown,Unknown,,,,,,"[32.7364, -89.6678]"
"Hoover, Colleen",Ugly Love,Banned from Libraries and Classrooms,,,,Utah,Granite School District,October 2022,Formal Challenge,"Air pilots,Fiction,Fiction, romance, contemporary,Love,Man-woman relationships,New York Times bestseller,Pilotes d'aéronef,Relations entre hommes et femmes,Romans, nouvelles",Air pilots,Fiction, romance, contemporary,Love,"Man-woman relationships,New York Times bestseller,Pilotes d'aéronef,Relations entre hommes et femmes,Romans, nouvelles","[39.32, -111.0937]"
"Hoover, Colleen",Ugly Love,Banned from Libraries and Classrooms,,,,Utah,Davis School District,November 2022,Formal Challenge,"Air pilots,Fiction,Fiction, romance, contemporary,Love,Man-woman relationships,New York Times bestseller,Pilotes d'aéronef,Relations entre hommes et femmes,Romans, nouvelles",Air pilots,Fiction, romance, contemporary,Love,"Man-woman relationships,New York Times bestseller,Pilotes d'aéronef,Relations entre hommes et femmes,Romans, nouvelles","[39.32, -111.0937]"
"Barron, T. A.",Ultimate Magic,Banned from Libraries,,,,Texas,Frisco Independent School District,October 2022,Administration,"Children's fiction,Dragons, fiction,Fantasy fiction,Good and evil, fiction,Magic, fiction,Wizards, fiction",Children's fiction,Dragons, fiction,Fantasy fiction,Good and evil,"Magic,Wizards","[31.9686, -99.9018]"
"Downham, Jenny",Unbecoming,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"Alzheimer's disease,Alzheimer's disease, fiction,Brothers and sisters,Brothers and sisters, fiction,Children's fiction,England, fiction,Families,Family,Family life,Family life, fiction,Family secrets,Family, fiction,Fiction,Girls & Women,Grandmothers,Grandparents, fiction,JUVENILE FICTION,Juvenile fiction,LGBTQ young adult,Mothers and daughters,Mothers and daughters, fiction,Patients,Secrets,Social Themes,Stonewall Book Awards,Teenage fiction,Teenage girls",Alzheimer's disease, fiction,Brothers and sisters,Children's fiction,England,"Families,Family,Family life,Family secrets,Fiction,Girls & Women,Grandmothers,Grandparents,JUVENILE FICTION,Juvenile fiction,LGBTQ young adult,Mothers and daughters,Patients,Secrets,Social Themes,Stonewall Book Awards,Teenage fiction,Teenage girls","[35.5175, -86.5804]"
"Bhagwati, Anuradha",Unbecoming: A Memoir of Disobedience,Banned from Libraries and Classrooms,,,,Texas,Frisco Independent School District,December 2022,Administration,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Brannen, Sarah",Uncle Bobby's Wedding,Banned Pending Investigation,,"Soto, Lucia",,Florida,Escambia County Public Schools,February 2023,Formal Challenge,"Children's fiction,Fiction,Homosexuality,Juvenile fiction,Same-sex marriage,Uncles,Weddings",Children's fiction,Fiction,Homosexuality,Juvenile fiction,Same-sex marriage,"Uncles,Weddings","[27.9944, -81.7603]"
"Mitchell, Margaree King",Uncle Jed's Barber Shop,Banned Pending Investigation,,"Ransome, James E.",,Florida,Duval County Public Schools,January 2022,Administrator,"African Americans,African americans, fiction,Barbers,Barter,Children's fiction,Depressions,Fiction,Generosity,Juvenile fiction,Juvenile literature,Poverty,Segregation,Sick children,Uncles",African Americans,African americans, fiction,Barbers,Barter,"Children's fiction,Depressions,Fiction,Generosity,Juvenile fiction,Juvenile literature,Poverty,Segregation,Sick children,Uncles","[27.9944, -81.7603]"
"Acho, Emmanuel",Uncomfortable Conversations with a Black Boy,Banned from Libraries,,,,Florida,Clay County School District,September 2022,Formal Challenge,"New York Times bestseller,Race relations,nyt:childrens-middle-grade-hardcover=2021-05-23",New York Times bestseller,Race relations,nyt:childrens-middle-grade-hardcover=2021-05-23,,,,"[27.9944, -81.7603]"
"Acho, Emmanuel",Uncomfortable Conversations with a Black Boy,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,"New York Times bestseller,Race relations,nyt:childrens-middle-grade-hardcover=2021-05-23",New York Times bestseller,Race relations,nyt:childrens-middle-grade-hardcover=2021-05-23,,,,"[27.9944, -81.7603]"
"Khan, Hena",Under My Hijab,Banned in Classrooms,,"Jaleel, Aaliya",,Pennsylvania,Central York School District,August 2021,Administrator,"Children's fiction,Clothing and dress, fiction,Individuality, fiction,Muslims, fiction,Stories in rhyme",Children's fiction,Clothing and dress, fiction,Individuality,Muslims,Stories in rhyme,"[41.2033, -77.1945]"
"Stevenson, Robin",Under Threat,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Abortion,Fiction,Gay teenagers,Juvenile fiction",Abortion,Fiction,Gay teenagers,Juvenile fiction,,,"[31.9686, -99.9018]"
"King, Stephen",Under the Dome,Banned Pending Investigation,,,,Pennsylvania,Penncrest School District,February 2023,Administration,"City and town life,Fantasy fiction,Ficción,Fiction,Fiction, psychological,Fiction, suspense,Fiction, thrillers, suspense,Good and evil,Iraq War,Large type books,Maine -- Fiction,Maine, fiction,New York Times bestseller,New York Times reviewed,Paranormal fiction,Psychological fiction,Romans, nouvelles,Suspense fiction,Thrillers,Veteranos,Veterans,Vida urbana,nyt:trade_fiction_paperback=2010-07-04,politicians",City and town life,Fantasy fiction,Ficción,Fiction, psychological," suspense, thrillers,Good and evil,Iraq War,Large type books,Maine -- Fiction,Maine, fiction,New York Times bestseller,New York Times reviewed,Paranormal fiction,Psychological fiction,Romans, nouvelles,Suspense fiction,Thrillers,Veteranos,Veterans,Vida urbana,nyt:trade_fiction_paperback=2010-07-04,politicians","[41.2033, -77.1945]"
"Glines, Abbi",Under the Lights (The Field Party Series),Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Myracle, Lauren",Under the Moon: A Catwoman Tale,Banned in Libraries,,"Goodhart, Isaac",,Wisconsin,School District of Waukesha,December 2021,Administrator,Unknown,Unknown,,,,,,"[44.5, -89.5]"
"Keyser, Amber J.",Underneath It All: A History of Women's Underwear,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Dawson, Juno",Understanding Gender,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Nardo, Don",Understanding Gender Identity,Banned in Libraries and Classrooms,,,,Tennessee,Collierville Schools,February 2022,Administrator,Sociology,Sociology,,,,,,"[35.5175, -86.5804]"
"Rodi, Robert",Understanding Sexual Orientation and Gender Identity,Banned Pending Investigation,"Ross, Laura",,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"World Book, Inc.",Understanding Sexuality,Banned Pending Investigation,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Hendriks, Jenni",Unpregnant,Banned from Libraries and Classrooms,"Caplan, Ted",,,Missouri,Nixa Public Schools,June 2023,Unclear,"Young adult fiction, coming of age,Young adult fiction, social themes, friendship,Young adult fiction, social themes, pregnancy",Young adult fiction, coming of age, social themes, friendship, pregnancy,,"[38.3566, -92.458]"
"Hendriks, Jenni",Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Young adult fiction, coming of age,Young adult fiction, social themes, friendship,Young adult fiction, social themes, pregnancy",Young adult fiction, coming of age, social themes, friendship, pregnancy,,"[27.9944, -81.7603]"
"Hendriks, Jenni",Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Texas,Granbury Independent School District,January 2022,Administrator,"Young adult fiction, coming of age,Young adult fiction, social themes, friendship,Young adult fiction, social themes, pregnancy",Young adult fiction, coming of age, social themes, friendship, pregnancy,,"[31.9686, -99.9018]"
"Hendriks, Jenni",Unpregnant,Banned Pending Investigation,"Caplan, Ted",,,Texas,North East Independent School District,December 2021,Administrator,"Young adult fiction, coming of age,Young adult fiction, social themes, friendship,Young adult fiction, social themes, pregnancy",Young adult fiction, coming of age, social themes, friendship, pregnancy,,"[31.9686, -99.9018]"
"Mafi, Tahereh",Unravel Me,Banned from Libraries and Classrooms,,,,Virginia,Madison County Public Schools,January 2023,Administration,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[37.4316, -78.6569]"
"Mafi, Tahereh",Unravel Me,Banned Pending Investigation,,,,Florida,Okaloosa County Schools District,January 2023,Administration,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[27.9944, -81.7603]"
"Mafi, Tahereh",Unravel Me,Banned from Libraries and Classrooms,,,,Florida,Martin County Schools,February 2023,Formal Challenge,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[27.9944, -81.7603]"
"Mafi, Tahereh",Unravel Me,Banned Pending Investigation,,,,Florida,Highlands Schools,September 2022,Informal Challenge,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[27.9944, -81.7603]"
"Mafi, Tahereh",Unravel Me,Banned Pending Investigation,,,,Pennsylvania,Pleasant Valley School District,July 2022,Informal Challenge,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[41.2033, -77.1945]"
"Mafi, Tahereh",Unravel Me,Banned from Libraries,,,,Florida,Collier County Public Schools,March 2023,Administration,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[27.9944, -81.7603]"
"Mafi, Tahereh",Unravel Me,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[27.9944, -81.7603]"
"Mafi, Tahereh",Unravel Me,Banned Pending Investigation,,,,Florida,Escambia County Public Schools,September 2022,Formal Challenge,"Ability,Children's fiction,Dictators,Dictatorship,Fiction,Juvenile fiction,Love,Love stories,Love, fiction,Science fiction,Soldiers,Soldiers, fiction,Totalitarianism, fiction",Ability,Children's fiction,Dictators,Dictatorship,Fiction,"Juvenile fiction,Love,Love stories, fiction,Science fiction,Soldiers,Totalitarianism","[27.9944, -81.7603]"
"Mafi, Tahereh",Unravel Me (Shatter Me Series),Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Coulson, Art",Unstoppable: How Jim Thorpe and the Carlisle Indian School Football Team Defeated Army (Encounter: Narrative Nonfiction Picture Books Series),Banned Pending Investigation,,"Hardcastle, Nick",,Florida,Duval County Public Schools,January 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Howard, A. G.",Untamed (AGH),Banned from Libraries,,,,Texas,Frisco Independent School District,March 2023,Administration,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Cast, P. C.",Untamed (House of Night Series),Banned in Libraries and Classrooms,"Cast, Kristin",,,Florida,Indian River County School District,November 2021,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Glines, Abbi",Until Friday Night (The Field Party Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Glines, Abbi",Until the End (Sea Breeze Series),Banned in Libraries and Classrooms,,,,Texas,Granbury Independent School District,January 2022,Administrator,Unknown,Unknown,,,,,,"[31.9686, -99.9018]"
"Jones, Kelly",Unusual Chickens for the Exceptional Poultry Farmer (Unusual Chickens Series),Banned Pending Investigation,,"Kath, Katie",,Florida,Duval County Public Schools,January 2022,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
"Munsch, Robert","Up, Up, Down!",Banned in Classrooms,,"Martchenko, Michael",,Pennsylvania,Central York School District,August 2021,Administrator,"Accidents,Albums tout carton,American literature,Children's fiction,Courage in girls,Escalade d'arbres,Family life, fiction,Fiction,Humorous stories,Juvenile fiction,Lesions et blessures,Livres d'images pour enfants,Lésions et blessures,Obedience,Obeissance,Obéissance,Parent and child,Parents et enfants,Picture books for children,Recits humoristiques,Romans, nouvelles, etc. pour la jeunesse,Récits humoristiques,Size and shape, fiction,Tree climbing,Trees, fiction,Wounds and injuries",Accidents,Albums tout carton,American literature,Children's fiction,Courage in girls,"Escalade d'arbres,Family life, fiction,Fiction,Humorous stories,Juvenile fiction,Lesions et blessures,Livres d'images pour enfants,Lésions et blessures,Obedience,Obeissance,Obéissance,Parent and child,Parents et enfants,Picture books for children,Recits humoristiques,Romans, nouvelles, etc. pour la jeunesse,Récits humoristiques,Size and shape,Tree climbing,Trees,Wounds and injuries","[41.2033, -77.1945]"
"Moore, Alan",V for Vendetta,Banned in Libraries,,"Lloyd, David",,Texas,North East Independent School District,December 2021,Administrator,"741.5/941,Anarchism,Anarchism in fiction,Anarchism--comic books, strips, etc,Anarchism--fiction,Basic reader,Comic books, strips,Comics & graphic novels, crime & mystery,Comics & graphic novels, dystopian,Comics & graphic novels, general,Comics & graphic novels, literary,England in fiction,English Science fiction,Fiction,Fiction, mystery & detective, general,Graphic novels,Great Britain in fiction,Literature,New York Times bestseller,Pn6737.m66 v2 2005,Politics and government,Totalitarianism,Totalitarianism in fiction,Totalitarianism--comic books, strips, etc,Vendetta,Vendetta--england--comic books, strips, etc,nyt:hardcover-graphic-books=2009-09-27,nyt:paperback-graphic-books=2009-03-29",741.5/941,Anarchism,Anarchism in fiction,Anarchism--comic books, strips," etc,Anarchism--fiction,Basic reader,Comic books,Comics & graphic novels, crime & mystery, dystopian, general, literary,England in fiction,English Science fiction,Fiction, mystery & detective,Graphic novels,Great Britain in fiction,Literature,New York Times bestseller,Pn6737.m66 v2 2005,Politics and government,Totalitarianism,Totalitarianism in fiction,Totalitarianism--comic books,Vendetta,Vendetta--england--comic books,nyt:hardcover-graphic-books=2009-09-27,nyt:paperback-graphic-books=2009-03-29","[31.9686, -99.9018]"
"Moore, Alan",V for Vendetta,Banned Pending Investigation,,"Lloyd, David",,Texas,Granbury Independent School District,January 2022,Administrator,"741.5/941,Anarchism,Anarchism in fiction,Anarchism--comic books, strips, etc,Anarchism--fiction,Basic reader,Comic books, strips,Comics & graphic novels, crime & mystery,Comics & graphic novels, dystopian,Comics & graphic novels, general,Comics & graphic novels, literary,England in fiction,English Science fiction,Fiction,Fiction, mystery & detective, general,Graphic novels,Great Britain in fiction,Literature,New York Times bestseller,Pn6737.m66 v2 2005,Politics and government,Totalitarianism,Totalitarianism in fiction,Totalitarianism--comic books, strips, etc,Vendetta,Vendetta--england--comic books, strips, etc,nyt:hardcover-graphic-books=2009-09-27,nyt:paperback-graphic-books=2009-03-29",741.5/941,Anarchism,Anarchism in fiction,Anarchism--comic books, strips," etc,Anarchism--fiction,Basic reader,Comic books,Comics & graphic novels, crime & mystery, dystopian, general, literary,England in fiction,English Science fiction,Fiction, mystery & detective,Graphic novels,Great Britain in fiction,Literature,New York Times bestseller,Pn6737.m66 v2 2005,Politics and government,Totalitarianism,Totalitarianism in fiction,Totalitarianism--comic books,Vendetta,Vendetta--england--comic books,nyt:hardcover-graphic-books=2009-09-27,nyt:paperback-graphic-books=2009-03-29","[31.9686, -99.9018]"
"Moore, Alan",V for Vendetta,Banned in Classrooms,,"Lloyd, David",,Texas,Leander Independent School District,September 2021,Administrator,"741.5/941,Anarchism,Anarchism in fiction,Anarchism--comic books, strips, etc,Anarchism--fiction,Basic reader,Comic books, strips,Comics & graphic novels, crime & mystery,Comics & graphic novels, dystopian,Comics & graphic novels, general,Comics & graphic novels, literary,England in fiction,English Science fiction,Fiction,Fiction, mystery & detective, general,Graphic novels,Great Britain in fiction,Literature,New York Times bestseller,Pn6737.m66 v2 2005,Politics and government,Totalitarianism,Totalitarianism in fiction,Totalitarianism--comic books, strips, etc,Vendetta,Vendetta--england--comic books, strips, etc,nyt:hardcover-graphic-books=2009-09-27,nyt:paperback-graphic-books=2009-03-29",741.5/941,Anarchism,Anarchism in fiction,Anarchism--comic books, strips," etc,Anarchism--fiction,Basic reader,Comic books,Comics & graphic novels, crime & mystery, dystopian, general, literary,England in fiction,English Science fiction,Fiction, mystery & detective,Graphic novels,Great Britain in fiction,Literature,New York Times bestseller,Pn6737.m66 v2 2005,Politics and government,Totalitarianism,Totalitarianism in fiction,Totalitarianism--comic books,Vendetta,Vendetta--england--comic books,nyt:hardcover-graphic-books=2009-09-27,nyt:paperback-graphic-books=2009-03-29","[31.9686, -99.9018]"
"Mead, Richelle",Vampire Academy,Banned Pending Investigation,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,"Adventure and adventurers, fiction,Children's fiction,Clases sociales,Escuelas secundarias,Ficción juvenil,Fiction,Friendship,High schools,High schools in fiction,Juvenile fiction,Kings, queens, rulers,Kings, queens, rulers, etc. in fiction,Kings, queens, rulers, etc., fiction,Large type books,Magia,Magic,Magic in fiction,Magic, fiction,Motion pictures,Motion pictures, juvenile literature,New York Times bestseller,Occult fiction,Paranormal,Paranormal, Occult & Supernatural,Romance,School stories,Schools,Schools in fiction,Schools, fiction,Social classes,Social classes in fiction,Spanish language materials,Spanish language, readers,St. Vladimir's Academy (Imaginary organization),Teen fiction,Vampires,Vampires in fiction,Vampires, fiction,Vampiros,YOUNG ADULT FICTION,nyt:series_books=2009-12-27",Adventure and adventurers, fiction,Children's fiction,Clases sociales,Escuelas secundarias,"Ficción juvenil,Fiction,Friendship,High schools,High schools in fiction,Juvenile fiction,Kings, queens, rulers, etc. in fiction, etc.,Large type books,Magia,Magic,Magic in fiction,Motion pictures, juvenile literature,New York Times bestseller,Occult fiction,Paranormal, Occult & Supernatural,Romance,School stories,Schools,Schools in fiction,Social classes,Social classes in fiction,Spanish language materials,Spanish language, readers,St. Vladimir's Academy (Imaginary organization),Teen fiction,Vampires,Vampires in fiction,Vampiros,YOUNG ADULT FICTION,nyt:series_books=2009-12-27","[27.9944, -81.7603]"
"Mead, Richelle",Vampire Academy (Vampire Academy Series),Banned Pending Investigation,,,,Michigan,Gladwin Community Schools,May 2022,Administrator,Unknown,Unknown,,,,,,"[44.3467, -85.4102]"
"Mead, Richelle",Vampire Academy (Vampire Academy Series),Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,Unknown,Unknown,,,,,,"[27.9944, -81.7603]"
